ID,Comentários,Classificação do TextBlob,Classificação do DeepSeek,Classificação do ChatGPT,José,Amanda,Andrè,Jaque,Bruno,Luis
11,é muito bom mas para um aplicativo de aprendizado não acho legal que haja um limite de erros na maioria das vezes eu acabo me estressando por estar errando e perdendo as chances porque se eu errar novamente eu sei que não vou ter como tentar de novo todo mundo sabe que para aprender algo é preciso errar e não tem como pegar tudo de primeira e ser perfeito cinco erros é muito pouco principalmente ao aprender algo totalmente novo,Positivo,Negativo,Negativo,Negativo,Neutro,Negativo,Negativo,Neutro,Neutro
12,adorava o aplicativo mas essa nova atualização prejudicou muito quem já vinha utilizando há algum tempo a estrutura foi totalmente modificada de forma repentina várias lições foram retiradas e o progresso ficou comprometido ainda faltavam 15 fases para que eu chegasse na sessão três quando atualizou fui direto para ela como é isso sendo que várias das lições que agora se encontram na sessão dois e constam como já realizadas envolvem assuntos que eu ainda não havia visto complicado,Positivo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Negativo,Negativo
13,comecei a usar o app há quatro meses gostei das opções de idiomas embora as opções sejam mais amplas para quem usa o app em inglês não gosto tanto da ideia de competição e de perder ranking dependendo de contra quem o app te joga parece ter como foco viagem e não conhecimento mas o grande lance é que estão retirando a opção de exercitar lições para recarregar corações isso pune quem tenta aprender línguas muito diferentes para te empurrar para pacotes pagos além de ver publicidade,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Negativo,Neutro
14,excelente app muito dinâmico em seus exercícios e em sua interface contudo seria muito bom se pudessem oferecer um melhor suporte para quem quer aprender mais línguas sabendo apenas o português nesse sentido sinto dificuldades no aprendizado da língua japonesa pois deve-se fazê-la apenas se dominar o inglês o que não é o meu caso tirando esse detalhe que me incomoda bastante o app é ótimo,Positivo,Positivo,Positivo,Negativo,Neutro,Neutro,Neutro,Positivo,Positivo
15,fica difícil poder fazer as lições sem poder ganhar vidas com os exercícios desde ontem apresenta somente a opção de aderir ao super ou de gastar cristais seria essa uma pressão para sair do plano gratuito neste momento está muito chato não poder avançar com as aulas outra coisa as lições estão correndo normais sendo feitas dentro do tempo mas de repente ganhamos uma porção de xp e daí o app fica lento e travando e passa-se os 15 minutos sem que se possa aproveitar da porção,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Negativo
16,fui cobrada depois de cancelar a assinatura não estava mais usando o aplicativo e recebi a cobrança e mais ainda fui cobrada no plano anual sendo que quando fui fazer o teste foi mensal e mesmo assim não recebi a mensagem que vocês dizem mandar antes dos sete dias não consegui ajuda pelo aplicativo sempre dá erro antes de enviar,Neutro,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Negativo,Negativo
17,é perfeito mas uma coisa que ele poderia ensinar igual os idiomas seria a língua de sinais libras seria ainda mais perfeito se incluísse essa função acho que ajudaria muita gente estou aprendendo em um aplicativo um pouco complicado de mexer e o duolingo tem uma interface muito boa é bom e facilitaria muito não só a minha vida mas a de muitas pessoas também espero que vocês possam incluir isso no app,Positivo,Positivo,Positivo,Neutro,Neutro,Positivo,Positivo,Neutro,Positivo
18,mudaram a estrutura do app não é mais possível rever vidas perdidas por erros só depois de zerar obrigam você a comprar o plano deles propagandas longas que travam no final reinicia e quando volta perdeu a lição feita muitos erros grosseiros de tradução em português coisas como dinheiros e fazido tenho uma sequência de mais de sete anos acho que conheço o app não,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Negativo,Negativo
19,é um aplicativo ótimo para quem quer aprender outras línguas como inglês português etc mas eu não gostei dessa última atualização porque o aplicativo não me deixa praticar os idiomas mais de uma vez o que significa que o duolingo não se importa com o aprendizado e sim que você pague se quiser praticar estudar porque mesmo que a pessoa possa abusar da opção de praticar ela ainda estaria aprendendo a língua e ganhando experiência com a gramática e as formas de fala,Positivo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Neutro,Negativo
20,um aplicativo muito bom para aprender inglês meu conhecimento em inglês era quase nada depois de um ano fazendo diariamente o duolingo eu já aprendi diversas palavras e frases consigo até ler matérias e entender legendas em inglês mas como tudo não são flores o pessoal do duolingo achou interessante tirar a opção de renovar as vidas isso desanimou ao ponto de querer excluir a conta e desinstalar o aplicativo você só consegue encher uma vida depois que tem zero vidas e isso desanima,Positivo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Neutro,Neutro
21,é incrível estou na escola e o duolingo tem me ajudado muito tanto em matemática quanto no inglês que sabemos que não é nada fácil o duo é divertido e explica as coisas de uma forma incrível pratico às vezes mas quando faço as atividades pode ter certeza que irei ficar uns 20 minutos ou mais ali gostaria sim de praticar mais e que aparecesse menos anúncios do super duolingo de resto é meu aplicativo de inglês favorito,Positivo,Positivo,Positivo,Neutro,Positivo,Positivo,Positivo,Positivo,Positivo
22,estou fazendo o curso de música do duolingo é ótimo para aprender a ler partituras exercitar a memória das notas aprender padrões rítmicos e compassos o app apresenta um tecladinho do tipo piano que é fácil de localizar na tela mas algumas vezes responde de maneira atrasada e você acaba perdendo pontos pois não é muito responsivo isto é um pouco frustrante,Positivo,Negativo,Positivo,Positivo,Neutro,Positivo,Positivo,Neutro,Neutro
23,baixei para testar e depois de uma semana assinei o plano premium foi a melhor escolha que eu fiz meu inglês era muito básico e em poucas semanas consegui evoluir bastante acredito que se continuar em alguns meses já conseguirei ser intermediário o app te motiva a continuar e bater metas é excelente e dá para aprender no seu próprio ritmo tenho amigos que baixaram para aprender outras línguas como italiano e francês também acharam ótimo enfim super indico,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
24,é um bom aplicativo e ajuda a aprender mas podia melhorar às vezes surgem palavras que você tem que ouvir a pronúncia e escolher uma opção mas não diz o que cada uma significa outra questão que incomoda é que precisa de duas assinaturas para o mesmo aplicativo para ter funções que tinham cinco anos atrás gratuitas caso queira fazer várias lições seguidas sem anúncio precisa do super e caso queira entender algo precisa assinar também o max e ambos têm valor considerável acho isso bem abusivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro
25,o aplicativo é excepcional mas infelizmente os anúncios são muito cansativos entendo que é preciso para manter o app e tudo mais como eles mesmos deixam isso claro mas não é necessário colocar um anúncio do super duolingo para cada lição que você faz por isso é tão difícil fazer uma ofensiva quando se pega gosto pelo app ele começa a tacar uma enxurrada de propagandas na sua cara resumindo não precisa de tantos anúncios do super após as lições,Positivo,Negativo,Negativo,Negativo,Negativo,Neutro,Negativo,Neutro,Neutro
26,o aplicativo é muito bom mas para que ele se torne excelente existe algo imprescindível que seria interessante implementar a possibilidade de retirarmos uma certificação válida ao final de todos os módulos mesmo que seja necessário efetuar algum pagamento essa melhoria tornaria o duolingo muito mais atraente principalmente para as pessoas que assim como eu buscam constantemente incrementar o próprio currículo para se destacar no mercado de trabalho por favor considerem esse feedback,Positivo,Positivo,Positivo,Positivo,Neutro,Positivo,Positivo,Neutro,Positivo
27,há uma falha nas missões quando o usuário faz a lição na virada do dia exemplo das 23:58 e passando para o dia seguinte as missões do dia seguinte ficam como feitas todavia os benefícios dos baús não são dados para os usuários colocar o tempo do dobro do xp seria interessante ficou show o duolingo está de parabéns agora temos o tempo de dois vezes do xp,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Neutro,Positivo
28,o app é muito bom principalmente se levarmos em conta o material gratuito mas o excesso de propaganda está atrapalhando o aprendizado e essa coisa de ter vidas para fazer as lições desestimula o aluno acho incrível uma organização que promove a educação mas nesse caso eu fico meio sem entender qual é a proposta de vocês,Positivo,Negativo,Negativo,Positivo,Neutro,Positivo,Positivo,Neutro,Positivo
29,gosto do app e entendo que os anúncios são necessários para manter a opção gratuita mas acredito que chegou naquele ponto em que fica bem cansativo para completar excluíram a opção de fazer exercícios para recarregar vidas um belo jeitinho de te empurrar o plano pago ou te fazer assistir ainda mais propagandas péssimo e desestimulante,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
30,durante um ano utilizei esse app sem nenhum problema e aprendi bastante com ele porém ontem o aplicativo modificou o meu curso de forma que estragou completamente a minha experiência os exercícios ficaram horríveis focando agora em frases desconexas ao invés de aprender uma palavra por vez além disso meu progresso foi totalmente bagunçado estão me cobrando questões de coisas que eu nem aprendi porque eles trocaram o cronograma do curso e me encaixaram no meio dele estou decepcionada,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
31,muito bom só por favor não sequestrem meu gato quando eu esquecer de fazer alguma atividade também poderiam adicionar outras formas de linguagem à adaptação em português já que é difícil compreender certas palavras em russo enquanto eu também as leio em inglês mas o app é ótimo para aprender várias coisas além da diversidade linguística,Positivo,Positivo,Positivo,Positivo,Positivo,Neutro,Neutro,Neutro,Positivo
32,ótimo site eu aprendo inglês com ele é muito bom porém tenho uma coisa que me incomoda não é bug mas eu queria muito aprender japonês porém só tem para quem fala inglês mesmo que eu aprenda inglês isso dificulta para eu entender gostaria que algumas línguas como japonês dessem para uma pessoa brasileira adicionar tirando isso ótimo,Positivo,Positivo,Positivo,Positivo,Neutro,Neutro,Positivo,Neutro,Positivo
33,na última atualização retiraram a possibilidade de fazer exercícios para recuperar vidas como errar é fácil acaba-se perdendo alguma lição em curso caso não tenha cristais para recarregar quando você ganha uma poção de xp em dobro antes se iniciasse a lição antes do término do contador ganhava-se o ponto em dobro agora se finalizou a lição após zerar o contador você não ganha xp em dobro mais muitos anúncios travam o app e aí você perde a lição que acabou de finalizar,Positivo,Negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Neutro,Negativo
34,app bom no geral a única coisa que não gostei muito foi uma alteração que veio com uma das últimas atualizações que faz com que só seja possível realizar as lições para ganhar vidas quando se tem apenas um coração o que atrasa um pouco a prática de lições já que há grande chance de se perder esta vida logo em seguida e assim torna-se difícil de se terminar uma lição sequer antes de ter que a recuperar novamente o que infelizmente torna as coisas um tanto desanimadoras,Positivo,negativo,Negativo,Negativo,Negativo,Neutro,Neutro,Neutro,Neutro
35,o aplicativo do duolingo é muito bom ensina bem tem diversas línguas e duas matérias música e matemática se você precisa de carreira com outra língua ele te prepara para isso sem custo nenhum a única coisa que não gostei muito é porque escolhi uma língua que não queria mais fazer pois não gostei mas depois não consegui tirar e se tiver como retirar ela não fica fácil de visualizar tirando isso o aplicativo é perfeito,Positivo,Positivo,Positivo,Negativo,Neutro,Positivo,Positivo,Positivo,Positivo
36,a nova atualização está péssima não permitindo que a gente pratique de forma seguida para ganhar vidas consequentemente jogando com uma vida é fácil errar e perder toda a lição quando era possível praticar até recarregar todas as vidas era muito melhor agora tudo limitado para que as pessoas assinem o plano quem tem o grátis não pode mais fazer várias lições se não tiver diamantes triste isso pois estava gostando muito do app,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
37,hoje troco minha avaliação porque duolingo está apelando dá sim para aprender uma língua com consistência e dedicação o aplicativo é eficaz mas as atualizações sempre mudam muito o aplicativo de mês em mês ele muda a interface as porções a forma de recuperar vidas a última que limita a quantidade de vidas no treinamento é a pior de todas nesses 11 meses de uso errar é humano mas eu tenho que pagar para ter vida horrível além de apresentar uns bugs horrendos que não chegam os prêmios,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
38,na última atualização tiraram a possibilidade de completar a quantidade de vidas ao fazer lições atualmente só é possível conseguir uma o que impossibilita alguém que não tem assinatura no duolingo ou não tem cristais suficientes de avançar nos exercícios é uma pena que tenham feito isso com um app que era tão bom e inclusivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
39,eu estou absolutamente impressionado com o duolingo eu comecei a usar o aplicativo há algumas semanas para aprender espanhol e estou surpreso com a rapidez e a facilidade com que estou progredindo o duolingo é incrivelmente intuitivo e fácil de usar com lições curtas e divertidas que me mantêm engajado e motivado a variedade de exercícios e atividades é impressionante e a capacidade de competir com outros usuários é um grande diferencial,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
40,o app ajuda a aprender outras línguas muito bem tem muitos comerciais como toda hora que acaba as lições mas os comerciais não travam como na maioria dos apps apesar de eu ter problemas em me concentrar o app ajuda deixando a experiência divertida fazendo a pessoa querer ultrapassar os outros no xp para descobrir o que acontece quando chega entre os três primeiros também tem como a gente não perder nossa ofensiva por causa de um ou dois dias gastando gemas que são bem fáceis de conseguir,Positivo,Positivo,Positivo,Positivo,Positivo,Neutro,Neutro,Neutro,Positivo
41,amei simplesmente um ótimo app que ensina super o inglês espanhol italiano francês e muito mais tem praticamente todas as línguas que existem mas tem um porém para quem fala português brasil só tem inglês espanhol e mais umas quatro línguas o restante das línguas está tudo para quem fala inglês queria muito mesmo que eles colocassem mais línguas para quem fala português mas tirando isso um app maravilhoso super indico e recomendo para todas as idades as atividades são bem fáceis e ensinam muito,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
42,app muito bom ele ensina muito bem a língua que você deseja aprender eu não sabia praticamente nada do inglês mas quando comecei a estudar com o duolingo evoluí bastante o sistema de ofensivas é muito bom porque mesmo se eu estiver com pouca vontade de estudar serei incentivado a fazer pelo menos uma lição no dia para manter a sequência de ofensivas existe também várias outras coisas que te impulsionam a estudar e sempre estar aprendendo mais,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
43,é uma ótima ferramenta dependendo dos seus objetivos não é muito eficaz para aprender gramática ou vocabulário pois não há explicação das estruturas gramaticais das frases e as palavras novas são introduzidas de forma extremamente lenta e repetitiva porém é ótimo para ter uma introdução divertida a um novo idioma ou para ensinar alfabetos que para mim é a melhor função do aplicativo também gera uma competição saudável entre usuários o que te incentiva a continuar aprendendo,Positivo,Positivo,Neutro,Positivo,Neutro,Positivo,Positivo,Positivo,Positivo
44,sempre utilizei muito o duo para aprender diversas línguas mas ultimamente estou fazendo o novo curso de música a ideia é impecável e a execução também está sendo só queria alertar para alguns bugs que estão acontecendo como ao chegar no objetivo de tocar uma música completa às vezes o instrumental de fundo não toca e pedir para que tenha algo também sobre teoria musical de forma mais profunda como ensinar sobre campo harmônico escalas etc mas parabéns a todos pelo trabalho,Positivo,Positivo,Positivo,Neutro,Neutro,Positivo,Positivo,Positivo,Positivo
45,bom o duolingo é um aplicativo maravilhoso roda muito bem em meu dispositivo aprendi inglês muito rápido só que o problema dele é que as vidas são pagas um aplicativo de inglês não precisa pagar para aprender este é o único defeito que faz duolingo ser bastante chato pelo menos consegui aprender inglês rápido super recomendo,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Neutro,Positivo
46,este app é incrível e também é muito fácil de aprender as linguagens e também atualizaram para aprendermos música e até matemática faz cerca de um ano e dois meses que eu tenho este app e já sei falar mais de 400 palavras em inglês 100 em espanhol e 20 em francês também tem como ganharmos xp que permite que nós avancemos de lugar e se ficarmos na zona de promoção nós avançamos de divisão por isso dei cinco estrelas para esse app,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo
47,uso desde o quarto ano atualmente estou no nono durante esse tempo aprendi muita coisa com o duolingo meu inglês é quase impecável durante um período fiquei sem usar mas se eu tivesse sido constante tenho certeza que estaria praticamente fluente o app é muito bom tem um ótimo método de ensino e o plano grátis é de qualidade minha sugestão é adicionarem um curso de código morse enfim super recomendo obrigada duo por nos permitir obter tanto conhecimento de uma maneira maravilhosa,Positivo,Positivo,Positivo,Neutro,Positivo,Positivo,Positivo,Positivo,Positivo
48,tem uma boa proposta e aprende-se muita coisa de maneira divertida com praticidade mas as ofensivas contagens de pontos e ranking são decepcionantes pois o app é bugado e não contabiliza sempre as suas atividades já perdi ofensivas por isso além de perder ranking que são duas das coisas mais importantes para motivação e parte principal da experiência do aplicativo e imagem dele por esses motivos não tenho vontade de assinar o super e vou mudar para outro app antes que o duo encha o saco,Positivo,Negativo,Negativo,Positivo,Negativo,Neutro,Neutro,Neutro,Neutro
49,sobre a nova assinatura do duolingo max a proposta é bem interessante e considerando a forma de ensino do app acho que é bem promissora e se você tiver com um dinheiro sobrando talvez possa valer a pena investir porém na prática ainda é bem limitado e apresenta muitas falhas as conversas são pouco fluidas e lentas e às vezes simplesmente não continua e é preciso reiniciar o app perdendo todo o progresso acredito que ainda vá melhorar no futuro,Negativo,Negativo,Neutro,Negativo,Neutro,Neutro,Neutro,Neutro,Neutro
50,usava desde 2013 com 468 dias de ofensiva mas estou desinstalando gamificação tornou-se desmotivadora exige dedicação excessiva para pontos não para aprendizagem são pelo menos quatro metas daily quest friends quest liga torneio desafio mensal cada vez mais difíceis elas são impossíveis de cumprir com conta gratuita cada vida é reposta a cada cinco horas é tempo demais ainda que o aprendizado intuitivo seja interessante faltam explicações gramaticais para sanar possíveis dúvidas,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo
